age,industry,currency,country,years_experience,years_experience_field,education,gender,total_salary,salary_COP
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,88000.0,352000000.0
35-44,Technology,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,61000.0,244000000.0
35-44,Nonprofit,GBP,United Kingdom,11 - 20 years,8 - 10 years,Master's degree,Woman,47000.0,235000000.0
25-34,Education,USD,United States,8 - 10 years,2 - 4 years,Master's degree,Woman,90000.0,360000000.0
65 or over,Retail & E-commerce,USD,United States,5-7 years,21 - 30 years,College degree,Woman,120000.0,480000000.0
55-64,Healthcare,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,33060.0,132240000.0
45-54,Nonprofit,CAD,Canada,21 - 30 years,21 - 30 years,Master's degree,Woman,72000.0,230400000.0
25-34,Manufacturing,USD,United States,5-7 years,5-7 years,College degree,Non-binary,75000.0,300000000.0
35-44,Finance,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,228000.0,912000000.0
25-34,Education,USD,United States,8 - 10 years,2 - 4 years,Some college,Woman,42078.0,168312000.0
25-34,Other,USD,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,80000.0,320000000.0
25-34,Manufacturing,USD,United States,8 - 10 years,5-7 years,Master's degree,Man,70000.0,280000000.0
25-34,Science & Research,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,70000.0,280000000.0
45-54,Technology,USD,United States,21 - 30 years,21 - 30 years,College degree,Man,116000.0,464000000.0
25-34,Technology,EUR,Netherlands,5-7 years,5-7 years,Master's degree,Man,61100.0,274950000.0
35-44,Education,USD,United States,21 - 30 years,5-7 years,Master's degree,Woman,77000.0,308000000.0
25-34,Technology,USD,United States,5-7 years,5-7 years,College degree,Woman,300000.0,1200000000.0
25-34,Education,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,121000.0,484000000.0
35-44,Education,USD,United States,8 - 10 years,11 - 20 years,College degree,Woman,65000.0,260000000.0
25-34,Legal,USD,United States,5-7 years,5-7 years,Master's degree,Woman,135000.0,540000000.0
25-34,Hospitality,USD,United States,11 - 20 years,5-7 years,Some college,Woman,90000.0,360000000.0
25-34,Social Services,USD,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,46000.0,184000000.0
35-44,Government,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,146500.0,586000000.0
35-44,Technology,USD,United States,2 - 4 years,1 year or less,College degree,Woman,38500.0,154000000.0
25-34,Healthcare,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,50000.0,200000000.0
25-34,Education,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,30300.0,121200000.0
25-34,Nonprofit,USD,United States,8 - 10 years,8 - 10 years,Some college,Woman,60000.0,240000000.0
25-34,Government,USD,United States,5-7 years,5-7 years,Master's degree,Woman,52740.0,210960000.0
25-34,Technology,USD,United States,5-7 years,5-7 years,College degree,Man,221000.0,884000000.0
45-54,Nonprofit,CAD,Canada,31 - 40 years,31 - 40 years,College degree,Woman,75000.0,240000000.0
35-44,Technology,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,78000.0,312000000.0
35-44,Technology,USD,United States,11 - 20 years,2 - 4 years,College degree,Man,70000.0,280000000.0
25-34,Finance,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,160000.0,640000000.0
25-34,Legal,USD,United States,8 - 10 years,2 - 4 years,College degree,Woman,32000.0,128000000.0
25-34,Nonprofit,USD,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,69000.0,276000000.0
25-34,Healthcare,USD,United States,5-7 years,5-7 years,Master's degree,Woman,138000.0,552000000.0
25-34,Technology,USD,United States,8 - 10 years,2 - 4 years,Master's degree,Woman,70000.0,280000000.0
25-34,Transport & Logistics,USD,United States,8 - 10 years,5-7 years,College degree,Man,110000.0,440000000.0
25-34,Education,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,52000.0,208000000.0
35-44,Manufacturing,CAD,Canada,11 - 20 years,8 - 10 years,College degree,Woman,100000.0,320000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,64000.0,256000000.0
25-34,Legal,USD,United States,2 - 4 years,2 - 4 years,PhD,Woman,165000.0,660000000.0
25-34,Government,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,54263.0,217052000.0
35-44,Education,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,68000.0,272000000.0
45-54,Legal,USD,United States,21 - 30 years,21 - 30 years,College degree,Woman,111000.0,444000000.0
25-34,Finance,USD,United States,8 - 10 years,5-7 years,College degree,Woman,95000.0,380000000.0
45-54,Nonprofit,USD,United States,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,47576.0,190304000.0
45-54,Legal,USD,United States,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,182000.0,728000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,56000.0,224000000.0
25-34,Transport & Logistics,USD,United States,8 - 10 years,5-7 years,College degree,Woman,50000.0,200000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,65000.0,260000000.0
45-54,Education,USD,United States,11 - 20 years,11 - 20 years,College degree,Man,60500.0,242000000.0
25-34,Nonprofit,USD,United States,5-7 years,2 - 4 years,College degree,Non-binary,24000.0,96000000.0
45-54,Government,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,80000.0,320000000.0
45-54,Finance,USD,United States,21 - 30 years,8 - 10 years,Master's degree,Woman,45750.0,183000000.0
25-34,Education,USD,United States,5-7 years,5-7 years,PhD,Woman,68000.0,272000000.0
45-54,Government,USD,United States,21 - 30 years,2 - 4 years,PhD,Woman,80000.0,320000000.0
35-44,Government,USD,United States,8 - 10 years,8 - 10 years,PhD,Man,86000.0,344000000.0
45-54,Technology,EUR,Germany,21 - 30 years,11 - 20 years,College degree,Woman,71000.0,319500000.0
35-44,Technology,USD,United States,11 - 20 years,2 - 4 years,College degree,Non-binary,116600.0,466400000.0
35-44,Government,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,137204.0,548816000.0
35-44,Other,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,88000.0,352000000.0
35-44,Science & Research,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,160000.0,640000000.0
25-34,Education,USD,United States,5-7 years,2 - 4 years,College degree,Woman,43550.0,174200000.0
35-44,Nonprofit,USD,United States,5-7 years,5-7 years,Master's degree,Woman,41800.0,167200000.0
25-34,Other,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,190000.0,760000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,2 - 4 years,College degree,Woman,83000.0,332000000.0
45-54,Government,USD,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,90000.0,360000000.0
25-34,Healthcare,USD,United States,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,135500.0,542000000.0
45-54,Government,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,145000.0,580000000.0
35-44,Education,USD,United States,11 - 20 years,1 year or less,Master's degree,Woman,58900.0,235600000.0
35-44,Other,USD,United States,8 - 10 years,2 - 4 years,College degree,Woman,85000.0,340000000.0
25-34,Healthcare,USD,United States,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,55000.0,220000000.0
45-54,Other,USD,United States,21 - 30 years,21 - 30 years,College degree,Woman,100000.0,400000000.0
35-44,Education,CAD,Canada,11 - 20 years,11 - 20 years,Master's degree,Woman,80000.0,256000000.0
25-34,Government,USD,United States,8 - 10 years,2 - 4 years,College degree,Woman,36900.0,147600000.0
45-54,Legal,USD,United States,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,246000.0,984000000.0
25-34,Other,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,56000.0,224000000.0
45-54,Technology,USD,United States,21 - 30 years,11 - 20 years,Some college,Woman,330000.0,1320000000.0
45-54,Education,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,78000.0,312000000.0
35-44,Other,USD,United States,21 - 30 years,11 - 20 years,College degree,Woman,110000.0,440000000.0
35-44,Marketing & PR,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,210000.0,840000000.0
65 or over,Education,USD,United States,41 years or more,31 - 40 years,Master's degree,Woman,71000.0,284000000.0
45-54,Technology,USD,United States,21 - 30 years,8 - 10 years,Master's degree,Man,130000.0,520000000.0
25-34,Technology,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,153000.0,612000000.0
35-44,Other,USD,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,43000.0,172000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,118000.0,472000000.0
35-44,Finance,USD,United States,11 - 20 years,11 - 20 years,Some college,Woman,86000.0,344000000.0
25-34,Manufacturing,USD,United States,5-7 years,2 - 4 years,PhD,Woman,118000.0,472000000.0
25-34,Other,USD,United States,5-7 years,5-7 years,PhD,Woman,119000.0,476000000.0
25-34,Education,GBP,United Kingdom,5-7 years,5-7 years,College degree,Woman,47000.0,235000000.0
35-44,Healthcare,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,68151.0,272604000.0
45-54,Finance,USD,United States,21 - 30 years,11 - 20 years,College degree,Woman,70600.0,282400000.0
45-54,Nonprofit,USD,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,120000.0,480000000.0
35-44,Other,USD,United States,21 - 30 years,11 - 20 years,College degree,Woman,92000.0,368000000.0
25-34,Other,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,39000.0,156000000.0
35-44,Government,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,87304.0,349216000.0
35-44,Technology,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,143000.0,572000000.0
35-44,Nonprofit,AUD/NZD,Australia,11 - 20 years,5-7 years,Master's degree,Woman,51600.0,144480000.0
18-24,Other,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,57500.0,230000000.0
25-34,Education,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,49000.0,196000000.0
18-24,Nonprofit,USD,United States,1 year or less,1 year or less,College degree,Non-binary,31000.0,124000000.0
25-34,Nonprofit,USD,United States,5-7 years,5-7 years,Master's degree,Woman,100000.0,400000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Man,53000.0,212000000.0
25-34,Healthcare,USD,United States,11 - 20 years,11 - 20 years,Some college,Man,250000.0,1000000000.0
25-34,Other,USD,United States,8 - 10 years,5-7 years,College degree,Woman,104500.0,418000000.0
18-24,Education,USD,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,102000.0,408000000.0
35-44,Healthcare,USD,Other,11 - 20 years,11 - 20 years,Some college,Woman,61000.0,244000000.0
25-34,Nonprofit,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,51000.0,204000000.0
35-44,Arts & Culture,CAD,Canada,8 - 10 years,5-7 years,College degree,Woman,74000.0,236800000.0
25-34,Manufacturing,USD,United States,5-7 years,5-7 years,College degree,Woman,116900.0,467600000.0
35-44,Marketing & PR,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,70000.0,280000000.0
35-44,Education,USD,United States,2 - 4 years,2 - 4 years,PhD,Woman,73000.0,292000000.0
35-44,Other,USD,United States,8 - 10 years,2 - 4 years,Master's degree,Woman,83000.0,332000000.0
35-44,Hospitality,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,86000.0,344000000.0
25-34,Education,USD,United States,5-7 years,2 - 4 years,Master's degree,Non-binary,70400.0,281600000.0
35-44,Finance,USD,Other,11 - 20 years,8 - 10 years,College degree,Woman,97000.0,388000000.0
45-54,Finance,USD,United States,21 - 30 years,5-7 years,College degree,Woman,107000.0,428000000.0
25-34,Technology,USD,United States,5-7 years,5-7 years,Master's degree,Other or prefer not to answer,96000.0,384000000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,50800.0,203200000.0
35-44,Technology,USD,United States,21 - 30 years,11 - 20 years,Some college,Man,180000.0,720000000.0
35-44,Science & Research,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,128482.0,513928000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,63000.0,252000000.0
35-44,Education,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,58000.0,232000000.0
25-34,Manufacturing,USD,United States,5-7 years,5-7 years,Master's degree,Woman,100100.0,400400000.0
25-34,Education,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Man,43696.0,174784000.0
45-54,Legal,USD,United States,21 - 30 years,21 - 30 years,Some college,Woman,85000.0,340000000.0
25-34,Finance,USD,United States,8 - 10 years,5-7 years,College degree,Woman,55000.0,220000000.0
25-34,Finance,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,28000.0,112000000.0
35-44,Legal,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,47000.0,188000000.0
45-54,Nonprofit,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,48000.0,192000000.0
25-34,Government,EUR,Germany,5-7 years,5-7 years,PhD,Woman,114000.0,513000000.0
25-34,Media & Publishing,USD,United States,5-7 years,5-7 years,College degree,Woman,55500.0,222000000.0
25-34,Technology,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,130000.0,520000000.0
35-44,Nonprofit,USD,United States,5-7 years,5-7 years,Master's degree,Woman,44535.0,178140000.0
35-44,Manufacturing,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,92000.0,368000000.0
45-54,Government,USD,United States,11 - 20 years,5-7 years,Master's degree,Woman,54250.0,217000000.0
35-44,Government,USD,United States,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,156000.0,624000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,190000.0,760000000.0
45-54,Nonprofit,USD,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,72700.0,290800000.0
35-44,Education,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,75000.0,300000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,5-7 years,Master's degree,Other or prefer not to answer,41000.0,164000000.0
25-34,Legal,USD,United States,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,210000.0,840000000.0
55-64,Manufacturing,USD,United States,21 - 30 years,21 - 30 years,College degree,Woman,117000.0,468000000.0
35-44,Technology,USD,United States,11 - 20 years,5-7 years,College degree,Non-binary,135575.0,542300000.0
45-54,Science & Research,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,45760.0,183040000.0
25-34,Other,USD,United States,5-7 years,5-7 years,College degree,Woman,155000.0,620000000.0
35-44,Media & Publishing,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,100000.0,400000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,145000.0,580000000.0
25-34,Transport & Logistics,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,97500.0,390000000.0
35-44,Technology,GBP,United Kingdom,21 - 30 years,21 - 30 years,Master's degree,Woman,38000.0,190000000.0
35-44,Finance,CAD,Canada,8 - 10 years,8 - 10 years,College degree,Woman,50000.0,160000000.0
35-44,Healthcare,CAD,Canada,11 - 20 years,11 - 20 years,Master's degree,Woman,86700.0,277440000.0
18-24,Nonprofit,GBP,United Kingdom,5-7 years,5-7 years,High School,Woman,17000.0,85000000.0
45-54,Manufacturing,USD,United States,21 - 30 years,8 - 10 years,College degree,Woman,110000.0,440000000.0
35-44,Finance,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,137500.0,550000000.0
35-44,Technology,USD,United States,21 - 30 years,11 - 20 years,College degree,Man,135000.0,540000000.0
45-54,Technology,USD,United States,31 - 40 years,21 - 30 years,Master's degree,Man,88000.0,352000000.0
35-44,Legal,EUR,Greece,11 - 20 years,11 - 20 years,Master's degree,Woman,45000.0,202500000.0
35-44,Technology,CAD,Canada,11 - 20 years,5-7 years,College degree,Woman,75000.0,240000000.0
35-44,Legal,CAD,Canada,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,37500.0,120000000.0
35-44,Education,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,82000.0,328000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,2 - 4 years,Master's degree,Woman,44000.0,176000000.0
35-44,Government,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,108000.0,432000000.0
55-64,Education,USD,United States,31 - 40 years,31 - 40 years,College degree,Woman,114000.0,456000000.0
25-34,Other,USD,United States,8 - 10 years,5-7 years,College degree,Man,76417.0,305668000.0
35-44,Manufacturing,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,95000.0,380000000.0
25-34,Other,USD,United States,8 - 10 years,2 - 4 years,Master's degree,Woman,136000.0,544000000.0
35-44,Technology,USD,United States,11 - 20 years,5-7 years,College degree,Woman,82000.0,328000000.0
25-34,Other,USD,United States,8 - 10 years,2 - 4 years,College degree,Woman,75000.0,300000000.0
35-44,Technology,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,90000.0,360000000.0
25-34,Nonprofit,USD,United States,5-7 years,5-7 years,College degree,Woman,58500.0,234000000.0
25-34,Media & Publishing,GBP,United Kingdom,5-7 years,5-7 years,Master's degree,Woman,34500.0,172500000.0
45-54,Healthcare,USD,United States,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,180000.0,720000000.0
35-44,Healthcare,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,95000.0,380000000.0
35-44,Education,USD,United States,5-7 years,5-7 years,Master's degree,Man,68500.0,274000000.0
25-34,Other,USD,United States,8 - 10 years,2 - 4 years,Master's degree,Woman,110000.0,440000000.0
35-44,Education,USD,United States,11 - 20 years,8 - 10 years,PhD,Woman,140000.0,560000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,5-7 years,College degree,Woman,52898.0,211592000.0
35-44,Other,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,66703.0,266812000.0
25-34,Healthcare,CAD,Canada,5-7 years,5-7 years,College degree,Woman,50000.0,160000000.0
35-44,Social Services,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,47200.0,188800000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,165000.0,660000000.0
25-34,Nonprofit,USD,United States,5-7 years,5-7 years,Master's degree,Woman,40000.0,160000000.0
35-44,Arts & Culture,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,56000.0,224000000.0
35-44,Finance,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Man,90000.0,360000000.0
35-44,Arts & Culture,USD,United States,11 - 20 years,5-7 years,College degree,Woman,44000.0,176000000.0
45-54,Nonprofit,USD,United States,21 - 30 years,21 - 30 years,College degree,Woman,130000.0,520000000.0
25-34,Manufacturing,CAD,Canada,11 - 20 years,8 - 10 years,Master's degree,Woman,125000.0,400000000.0
55-64,Technology,USD,United States,21 - 30 years,21 - 30 years,College degree,Man,184000.0,736000000.0
45-54,Utilities & Telecommunications,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,137916.0,551664000.0
under 18,Education,USD,United States,21 - 30 years,2 - 4 years,Master's degree,Woman,46200.0,184800000.0
35-44,Legal,CAD,Canada,8 - 10 years,5-7 years,College degree,Woman,185000.0,592000000.0
25-34,Other,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,125000.0,500000000.0
45-54,Education,USD,United States,21 - 30 years,21 - 30 years,PhD,Woman,60000.0,240000000.0
25-34,Technology,USD,United States,5-7 years,5-7 years,College degree,Woman,78000.0,312000000.0
25-34,Legal,USD,United States,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,76000.0,304000000.0
55-64,Media & Publishing,USD,United States,31 - 40 years,31 - 40 years,College degree,Man,32000.0,128000000.0
35-44,Legal,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,59005.0,236020000.0
25-34,Marketing & PR,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,84000.0,336000000.0
25-34,Technology,USD,United States,5-7 years,5-7 years,Some college,Non-binary,105000.0,420000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,48568.0,194272000.0
25-34,Media & Publishing,USD,United States,5-7 years,5-7 years,Master's degree,Man,70000.0,280000000.0
45-54,Marketing & PR,USD,United States,11 - 20 years,11 - 20 years,Some college,Woman,87000.0,348000000.0
25-34,Technology,USD,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,92000.0,368000000.0
25-34,Hospitality,USD,United States,5-7 years,5-7 years,College degree,Woman,40290.0,161160000.0
35-44,Legal,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,98000.0,392000000.0
35-44,Healthcare,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,102500.0,410000000.0
25-34,Other,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,54511.0,218044000.0
18-24,Healthcare,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,52000.0,208000000.0
45-54,Technology,USD,United States,11 - 20 years,11 - 20 years,High School,Woman,62400.0,249600000.0
45-54,Nonprofit,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,31200.0,124800000.0
45-54,Other,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,98500.0,394000000.0
25-34,Education,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,45000.0,180000000.0
25-34,Legal,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,51000.0,204000000.0
25-34,Government,GBP,United Kingdom,8 - 10 years,8 - 10 years,Some college,Woman,20137.0,100685000.0
25-34,Other,USD,United States,2 - 4 years,2 - 4 years,PhD,Woman,92400.0,369600000.0
25-34,Nonprofit,USD,United States,5-7 years,5-7 years,Master's degree,Woman,41043.0,164172000.0
25-34,Education,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,65000.0,260000000.0
45-54,Other,USD,United States,8 - 10 years,11 - 20 years,PhD,Woman,165000.0,660000000.0
25-34,Education,GBP,United Kingdom,2 - 4 years,2 - 4 years,PhD,Woman,23067.0,115335000.0
25-34,Nonprofit,USD,United States,5-7 years,5-7 years,Master's degree,Woman,50148.0,200592000.0
35-44,Nonprofit,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,47000.0,188000000.0
25-34,Marketing & PR,USD,United States,5-7 years,5-7 years,College degree,Woman,61000.0,244000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,5-7 years,College degree,Woman,63000.0,252000000.0
18-24,Finance,GBP,United Kingdom,1 year or less,1 year or less,College degree,Woman,26000.0,130000000.0
35-44,Finance,GBP,United Kingdom,11 - 20 years,11 - 20 years,High School,Non-binary,55000.0,275000000.0
25-34,Government,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,72467.0,289868000.0
25-34,Nonprofit,CHF,Other,8 - 10 years,8 - 10 years,Master's degree,Other or prefer not to answer,90000.0,387000000.0
25-34,Government,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,81000.0,324000000.0
25-34,Finance,USD,United States,8 - 10 years,5-7 years,College degree,Woman,68000.0,272000000.0
25-34,Media & Publishing,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,66000.0,264000000.0
25-34,Arts & Culture,USD,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,75000.0,300000000.0
55-64,Education,USD,United States,31 - 40 years,31 - 40 years,Master's degree,Woman,114050.0,456200000.0
25-34,Other,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,77000.0,308000000.0
55-64,Finance,USD,United States,31 - 40 years,31 - 40 years,College degree,Woman,47654.0,190616000.0
25-34,Other,GBP,United Kingdom,1 year or less,1 year or less,Master's degree,Woman,26000.0,130000000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,119193.0,476772000.0
35-44,Healthcare,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,112000.0,448000000.0
35-44,Education,USD,United States,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,87000.0,348000000.0
25-34,Manufacturing,GBP,United Kingdom,8 - 10 years,5-7 years,Master's degree,Woman,35000.0,175000000.0
25-34,Healthcare,USD,United States,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,55450.0,221800000.0
25-34,Legal,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,130000.0,520000000.0
35-44,Education,USD,United States,8 - 10 years,5-7 years,PhD,Woman,150000.0,600000000.0
35-44,Marketing & PR,USD,Germany,11 - 20 years,8 - 10 years,College degree,Woman,160000.0,640000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,11 - 20 years,Some college,Woman,55000.0,220000000.0
35-44,Transport & Logistics,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,64000.0,256000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,5-7 years,College degree,Woman,78000.0,312000000.0
25-34,Manufacturing,USD,United States,5-7 years,5-7 years,Master's degree,Woman,77000.0,308000000.0
25-34,Finance,USD,United States,11 - 20 years,5-7 years,College degree,Woman,62000.0,248000000.0
35-44,Education,GBP,United Kingdom,11 - 20 years,11 - 20 years,College degree,Woman,39000.0,195000000.0
25-34,Pharmaceuticals,EUR,Ireland,5-7 years,5-7 years,College degree,Woman,78000.0,351000000.0
25-34,Nonprofit,USD,United States,11 - 20 years,5-7 years,College degree,Woman,70000.0,280000000.0
35-44,Manufacturing,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,160000.0,640000000.0
25-34,Other,USD,United States,8 - 10 years,5-7 years,College degree,Woman,74189.0,296756000.0
25-34,Education,USD,United States,5-7 years,5-7 years,PhD,Woman,63000.0,252000000.0
18-24,Finance,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,31500.0,126000000.0
25-34,Media & Publishing,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,100000.0,400000000.0
55-64,Finance,USD,United States,5-7 years,8 - 10 years,College degree,Woman,90000.0,360000000.0
25-34,Education,USD,United States,5-7 years,5-7 years,College degree,Woman,28000.0,112000000.0
25-34,Education,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,29473.0,117892000.0
35-44,Government,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,86000.0,344000000.0
45-54,Nonprofit,USD,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,62500.0,250000000.0
25-34,Marketing & PR,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,53000.0,212000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,48807.0,195228000.0
25-34,Finance,USD,United States,5-7 years,5-7 years,College degree,Woman,63000.0,252000000.0
18-24,Nonprofit,USD,United States,2 - 4 years,1 year or less,College degree,Woman,46000.0,184000000.0
25-34,Technology,USD,United States,1 year or less,1 year or less,Master's degree,Woman,79000.0,316000000.0
35-44,Real Estate,USD,United States,11 - 20 years,11 - 20 years,College degree,Man,84000.0,336000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Man,125000.0,500000000.0
25-34,Technology,USD,United States,5-7 years,2 - 4 years,College degree,Woman,79000.0,316000000.0
35-44,Media & Publishing,GBP,United Kingdom,11 - 20 years,11 - 20 years,College degree,Woman,29600.0,148000000.0
35-44,Other,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,96000.0,384000000.0
25-34,Government,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,30414.0,121656000.0
